"id","model_name","brand","release_date","display","battery","camera","ram","storage","price_usd","source_url","created_at"
11,"SamsungGalaxy A55","Samsung","2024-11-03","6.6 inches, 106.9 cm 2 (~85.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","379.00","https://www.gsmarena.com/samsung_galaxy_a55-12824.php","2025-10-25 15:36:25.013183"
12,"SamsungGalaxy A26","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~86.7% screen-to-body ratio)",5000,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","229.00","https://www.gsmarena.com/samsung_galaxy_a26-13679.php","2025-10-25 15:36:25.014498"
13,"SamsungGalaxy S22 Ultra 5G","Samsung","2022-09-02","6.8 inches, 114.7 cm 2 (~90.2% screen-to-body ratio)",5000,"108 MP, f/1.8, 23mm (wide), 1/1.33"", 0.8µm, PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 10 MP, f/4.9, 230mm (periscope telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 10x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","8GB","128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","999.99","https://www.gsmarena.com/samsung_galaxy_s22_ultra_5g-11251.php","2025-10-25 15:36:25.015775"
14,"SamsungGalaxy A16 5G","Samsung","2024-07-10","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","154.00","https://www.gsmarena.com/samsung_galaxy_a16_5g-13346.php","2025-10-25 15:36:25.017165"
15,"SamsungGalaxy A16","Samsung","2024-10-15","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","149.00","https://www.gsmarena.com/samsung_galaxy_a16-13383.php","2025-10-25 15:36:25.018486"
16,"SamsungGalaxy A06","Samsung","2024-08-16","6.7 inches, 108.4 cm 2 (~83.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF 2 MP, f/2.4, (depth)","4GB","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","125.00","https://www.gsmarena.com/samsung_galaxy_a06-13265.php","2025-10-25 15:36:25.020287"
17,"SamsungGalaxy S23 Ultra","Samsung","2023-01-02","6.8 inches, 114.7 cm 2 (~89.9% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 10 MP, f/4.9, 230mm (periscope telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 10x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","8GB","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","950.00","https://www.gsmarena.com/samsung_galaxy_s23_ultra-12024.php","2025-10-25 15:36:25.021898"
18,"SamsungGalaxy A35","Samsung","2024-11-03","6.6 inches, 106.9 cm 2 (~84.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","299.00","https://www.gsmarena.com/samsung_galaxy_a35-12705.php","2025-10-25 15:36:25.023272"
19,"SamsungGalaxy S23","Samsung","2023-01-02","6.1 inches, 90.1 cm 2 (~86.8% screen-to-body ratio)",3900,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","799.99","https://www.gsmarena.com/samsung_galaxy_s23-12082.php","2025-10-25 15:36:25.024639"
20,"SamsungGalaxy S22 5G","Samsung","2022-09-02","6.1 inches, 90.1 cm 2 (~87.4% screen-to-body ratio)",3700,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM","699.00","https://www.gsmarena.com/samsung_galaxy_s22_5g-11253.php","2025-10-25 15:36:25.025928"
